"ano","pilotos","construtores","Grand_prix","Duração"
"2016","Nasr","Sauber","Australian Grand Prix","13"
"2016","Hamilton","Mercedes","Australian Grand Prix","13.173"
"2016","P泰rez","Force India","Australian Grand Prix","13.201"
"2016","Massa","Williams","Australian Grand Prix","13.259"
"2016","Vettel","Ferrari","Australian Grand Prix","13.335"
"2016","P泰rez","Force India","Australian Grand Prix","13.9"
"2016","P泰rez","Force India","Australian Grand Prix","14.089"
"2016","H蘝lkenberg","Force India","Australian Grand Prix","14.128"
"2016","Button","McLaren","Australian Grand Prix","14.501"
"2016","Massa","Williams","Australian Grand Prix","14.919"
