"ano","pilotos","construtores","Grand_prix","Duração"
"2014","Maldonado","Lotus F1","Australian Grand Prix","12.897"
"2014","Hamilton","Mercedes","Australian Grand Prix","13.173"
"2014","Maldonado","Lotus F1","Australian Grand Prix","13.186"
"2014","P泰rez","Force India","Australian Grand Prix","13.201"
"2014","Maldonado","Lotus F1","Australian Grand Prix","13.206"
"2014","Massa","Williams","Australian Grand Prix","13.259"
"2014","Maldonado","Lotus F1","Australian Grand Prix","13.266"
"2014","Vettel","Red Bull","Australian Grand Prix","13.335"
"2014","P泰rez","Force India","Australian Grand Prix","13.9"
"2014","Maldonado","Lotus F1","Australian Grand Prix","13.925"
